id,code,name,street,zipcode,city
84161018036486557,,,,,
84161018036486765,,,,,
84161018036486788,,,,,
84161018036487012,,,,,
84161018036517774,35030,SPEIR,"9, Boulevard du Delta",94658,Rungis Cedex
84161018036517957,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036490726,15897,Uspot LTD,"56 Brovarska St., Trebuhiv,",7454,Kiev oblast
84161018036490796,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036687929,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036518893,35366,Savoies Primeurs,ZAC Entre 2 Lacs,73410,Albens
84161018036519006,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036496846,50904,La Provençale,ZI du Grasbesch,3370,Leudelange
84161018036496953,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036518623,36679,Slad Multifrais,Route de Peyrehorade,40100,Dax
84161018036518755,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036486346,51068,Bidfood Horeca Service N.V.,"Lochteman, 10",3580,Beringen
84161018036486503,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036487065,11082,Lozza Carni S.r.l.,"Via Don Carlo Murena, n° 21",21020,Casale Litta
84161018036487216,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036496529,20090A04,Makro Distrib.Mayorista SAU,PI Gavilanes ClDian Fossey 4,28909,Getafe (Madrid)
84161018036496763,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036487840,11207A01,"General Food, S.p.A.",Via Cavour nr.139/A,25011,Calcinato
84161018036488032,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036725455,16168,CFN Foods LTD,"Ballyregan, Camas,",V42 PN22,Limerick
84161018036725528,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036489605,36683A02,Pro à Pro Distribution Sud,Allée du Port,26200,Montelimar
84161018036489816,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036487611,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036487764,FRILOM,Lineage Rotterdam Maasvlakte,Tsugarustraat 5,3199 LS,Rotterdam
84161018036488187,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036488203,FRILOM,Agristo Nazareth NV,Venecoweg 12,9810,Nazareth
84161018036496261,36521A02,Pomona PF Paris Nord (Sod),2 rue du Palmer - Bâtiment 2,95064,Cergy Pontoise cedex
84161018036496502,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036488940,51068,Bidfood Horeca Service N.V.,"Lochteman, 10",3580,Beringen
84161018036488994,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036489409,51076,Yildirim B.V.B.A.,"Koninginnelaan, 123A",3630,Maasmechelen
84161018036489505,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036498382,35014,Dis-Frais SA,Rue de l'avenir,50500,St Hilaire Petitvill
84161018036498487,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036491182,14700,Grabbarnas Gront,Konsumentvagen 9,12530,Älvsjö
84161018036491350,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036491503,14233,Allmix i Mjolby AB,Hagalunsgatan 6,59594,MJOLBY
84161018036491546,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036491655,13099,SKG Göteborg,Vattenverksgatan 12,41502,Göteborg
